system:index,Feature,M,Y,mean_2m_air_temperature,.geo
200303,,3.0,2003.0,0.038590136528280555,"{""type"":""MultiPoint"",""coordinates"":[]}"
200304,,4.0,2003.0,1.6678740596266368,"{""type"":""MultiPoint"",""coordinates"":[]}"
200305,,5.0,2003.0,9.240317637224852,"{""type"":""MultiPoint"",""coordinates"":[]}"
200306,,6.0,2003.0,14.94538868765673,"{""type"":""MultiPoint"",""coordinates"":[]}"
200307,,7.0,2003.0,14.092922819726946,"{""type"":""MultiPoint"",""coordinates"":[]}"
200308,,8.0,2003.0,16.090972415714685,"{""type"":""MultiPoint"",""coordinates"":[]}"
200309,,9.0,2003.0,9.122596823627752,"{""type"":""MultiPoint"",""coordinates"":[]}"
200310,,10.0,2003.0,1.4045695179715796,"{""type"":""MultiPoint"",""coordinates"":[]}"
200311,,11.0,2003.0,-0.15784341042073008,"{""type"":""MultiPoint"",""coordinates"":[]}"
200312,,12.0,2003.0,-5.899554193368626,"{""type"":""MultiPoint"",""coordinates"":[]}"
200401,,1.0,2004.0,-7.794371691278907,"{""type"":""MultiPoint"",""coordinates"":[]}"
200402,,2.0,2004.0,-5.129283923098355,"{""type"":""MultiPoint"",""coordinates"":[]}"
200403,,3.0,2004.0,-2.146976873780998,"{""type"":""MultiPoint"",""coordinates"":[]}"
200404,,4.0,2004.0,2.8152688771245473,"{""type"":""MultiPoint"",""coordinates"":[]}"
200405,,5.0,2004.0,5.6400111451657855,"{""type"":""MultiPoint"",""coordinates"":[]}"
200406,,6.0,2004.0,11.241014210086377,"{""type"":""MultiPoint"",""coordinates"":[]}"
200407,,7.0,2004.0,12.508776818055173,"{""type"":""MultiPoint"",""coordinates"":[]}"
200408,,8.0,2004.0,13.339648927277798,"{""type"":""MultiPoint"",""coordinates"":[]}"
200409,,9.0,2004.0,10.120089161326275,"{""type"":""MultiPoint"",""coordinates"":[]}"
200410,,10.0,2004.0,6.696712176093619,"{""type"":""MultiPoint"",""coordinates"":[]}"
200411,,11.0,2004.0,-1.282251323488437,"{""type"":""MultiPoint"",""coordinates"":[]}"
200412,,12.0,2004.0,-5.914182223460574,"{""type"":""MultiPoint"",""coordinates"":[]}"
200501,,1.0,2005.0,-8.205767623293395,"{""type"":""MultiPoint"",""coordinates"":[]}"
200502,,2.0,2005.0,-8.63499582056283,"{""type"":""MultiPoint"",""coordinates"":[]}"
200503,,3.0,2005.0,-1.459041515742547,"{""type"":""MultiPoint"",""coordinates"":[]}"
200504,,4.0,2005.0,2.999582056283087,"{""type"":""MultiPoint"",""coordinates"":[]}"
200505,,5.0,2005.0,8.440930621342993,"{""type"":""MultiPoint"",""coordinates"":[]}"
200506,,6.0,2005.0,12.40456951797158,"{""type"":""MultiPoint"",""coordinates"":[]}"
200507,,7.0,2005.0,13.158818612426863,"{""type"":""MultiPoint"",""coordinates"":[]}"
200508,,8.0,2005.0,11.31568682084146,"{""type"":""MultiPoint"",""coordinates"":[]}"
200509,,9.0,2005.0,10.240039008080245,"{""type"":""MultiPoint"",""coordinates"":[]}"
200510,,10.0,2005.0,6.1171635553078865,"{""type"":""MultiPoint"",""coordinates"":[]}"
200511,,11.0,2005.0,-1.7706882139871836,"{""type"":""MultiPoint"",""coordinates"":[]}"
200512,,12.0,2005.0,-8.437587071607688,"{""type"":""MultiPoint"",""coordinates"":[]}"
200601,,1.0,2006.0,-8.903594315965451,"{""type"":""MultiPoint"",""coordinates"":[]}"
200602,,2.0,2006.0,-6.241153524658679,"{""type"":""MultiPoint"",""coordinates"":[]}"
200603,,3.0,2006.0,-3.144608526051826,"{""type"":""MultiPoint"",""coordinates"":[]}"
200604,,4.0,2006.0,3.0220117024240745,"{""type"":""MultiPoint"",""coordinates"":[]}"
200605,,5.0,2006.0,7.602953468932851,"{""type"":""MultiPoint"",""coordinates"":[]}"
200606,,6.0,2006.0,12.146837559208693,"{""type"":""MultiPoint"",""coordinates"":[]}"
200607,,7.0,2006.0,16.08971858456395,"{""type"":""MultiPoint"",""coordinates"":[]}"
200608,,8.0,2006.0,9.948035664530513,"{""type"":""MultiPoint"",""coordinates"":[]}"
200609,,9.0,2006.0,11.947199777096687,"{""type"":""MultiPoint"",""coordinates"":[]}"
200610,,10.0,2006.0,7.051964335469491,"{""type"":""MultiPoint"",""coordinates"":[]}"
200611,,11.0,2006.0,1.198801894678183,"{""type"":""MultiPoint"",""coordinates"":[]}"
200612,,12.0,2006.0,-3.415018110894398,"{""type"":""MultiPoint"",""coordinates"":[]}"
200701,,1.0,2007.0,-2.439119531903037,"{""type"":""MultiPoint"",""coordinates"":[]}"
200702,,2.0,2007.0,-1.8517692950682638,"{""type"":""MultiPoint"",""coordinates"":[]}"
200703,,3.0,2007.0,-0.24700473669545853,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704,,4.0,2007.0,6.8911953190303725,"{""type"":""MultiPoint"",""coordinates"":[]}"
200705,,5.0,2007.0,8.919476177208136,"{""type"":""MultiPoint"",""coordinates"":[]}"
200706,,6.0,2007.0,12.348425745332966,"{""type"":""MultiPoint"",""coordinates"":[]}"
200707,,7.0,2007.0,13.696990805238228,"{""type"":""MultiPoint"",""coordinates"":[]}"
200708,,8.0,2007.0,12.531903037057678,"{""type"":""MultiPoint"",""coordinates"":[]}"
200709,,9.0,2007.0,7.568542769573697,"{""type"":""MultiPoint"",""coordinates"":[]}"
200710,,10.0,2007.0,4.4990247979938705,"{""type"":""MultiPoint"",""coordinates"":[]}"
200711,,11.0,2007.0,-2.7042351629980503,"{""type"":""MultiPoint"",""coordinates"":[]}"
200712,,12.0,2007.0,-6.221788799108388,"{""type"":""MultiPoint"",""coordinates"":[]}"
200801,,1.0,2008.0,-3.645583728057955,"{""type"":""MultiPoint"",""coordinates"":[]}"
200802,,2.0,2008.0,-2.7135692393424353,"{""type"":""MultiPoint"",""coordinates"":[]}"
200803,,3.0,2008.0,-1.4348007801616056,"{""type"":""MultiPoint"",""coordinates"":[]}"
200804,,4.0,2008.0,2.0585121203677903,"{""type"":""MultiPoint"",""coordinates"":[]}"
200805,,5.0,2008.0,8.52549456673168,"{""type"":""MultiPoint"",""coordinates"":[]}"
200806,,6.0,2008.0,12.486068542769576,"{""type"":""MultiPoint"",""coordinates"":[]}"
200807,,7.0,2008.0,13.270548899414882,"{""type"":""MultiPoint"",""coordinates"":[]}"
200808,,8.0,2008.0,13.682920033435497,"{""type"":""MultiPoint"",""coordinates"":[]}"
200809,,9.0,2008.0,8.424352187238785,"{""type"":""MultiPoint"",""coordinates"":[]}"
200810,,10.0,2008.0,6.055725828921704,"{""type"":""MultiPoint"",""coordinates"":[]}"
200811,,11.0,2008.0,-1.6765115631095013,"{""type"":""MultiPoint"",""coordinates"":[]}"
200812,,12.0,2008.0,-5.687238785176929,"{""type"":""MultiPoint"",""coordinates"":[]}"
200901,,1.0,2009.0,-7.8864586235720235,"{""type"":""MultiPoint"",""coordinates"":[]}"
200902,,2.0,2009.0,-5.950821955976595,"{""type"":""MultiPoint"",""coordinates"":[]}"
200903,,3.0,2009.0,-1.5625522429646144,"{""type"":""MultiPoint"",""coordinates"":[]}"
200904,,4.0,2009.0,4.718027305656173,"{""type"":""MultiPoint"",""coordinates"":[]}"
200905,,5.0,2009.0,9.277375313457789,"{""type"":""MultiPoint"",""coordinates"":[]}"
200906,,6.0,2009.0,11.096962942323765,"{""type"":""MultiPoint"",""coordinates"":[]}"
200907,,7.0,2009.0,13.42240178322653,"{""type"":""MultiPoint"",""coordinates"":[]}"
200908,,8.0,2009.0,14.906380607411537,"{""type"":""MultiPoint"",""coordinates"":[]}"
200909,,9.0,2009.0,10.897185845639454,"{""type"":""MultiPoint"",""coordinates"":[]}"
200910,,10.0,2009.0,4.190582334912232,"{""type"":""MultiPoint"",""coordinates"":[]}"
200911,,11.0,2009.0,0.43953747561994955,"{""type"":""MultiPoint"",""coordinates"":[]}"
200912,,12.0,2009.0,-7.111730286988019,"{""type"":""MultiPoint"",""coordinates"":[]}"
201001,,1.0,2010.0,-8.201309556979659,"{""type"":""MultiPoint"",""coordinates"":[]}"
201002,,2.0,2010.0,-5.68723878517693,"{""type"":""MultiPoint"",""coordinates"":[]}"
201003,,3.0,2010.0,-1.7776539426023967,"{""type"":""MultiPoint"",""coordinates"":[]}"
201004,,4.0,2010.0,3.4370298133184733,"{""type"":""MultiPoint"",""coordinates"":[]}"
201005,,5.0,2010.0,6.667177486765116,"{""type"":""MultiPoint"",""coordinates"":[]}"
201006,,6.0,2010.0,11.781694065199217,"{""type"":""MultiPoint"",""coordinates"":[]}"
201007,,7.0,2010.0,15.303287823906384,"{""type"":""MultiPoint"",""coordinates"":[]}"
201008,,8.0,2010.0,12.54597380886041,"{""type"":""MultiPoint"",""coordinates"":[]}"
201009,,9.0,2010.0,8.369183616606298,"{""type"":""MultiPoint"",""coordinates"":[]}"
201010,,10.0,2010.0,3.6574254667038173,"{""type"":""MultiPoint"",""coordinates"":[]}"
201011,,11.0,2010.0,-1.344524937308443,"{""type"":""MultiPoint"",""coordinates"":[]}"
201012,,12.0,2010.0,-7.440234048481471,"{""type"":""MultiPoint"",""coordinates"":[]}"
201101,,1.0,2011.0,-5.8760100306492085,"{""type"":""MultiPoint"",""coordinates"":[]}"
201102,,2.0,2011.0,-2.9123711340206193,"{""type"":""MultiPoint"",""coordinates"":[]}"
201103,,3.0,2011.0,0.20618556701030905,"{""type"":""MultiPoint"",""coordinates"":[]}"
201104,,4.0,2011.0,5.663137364168294,"{""type"":""MultiPoint"",""coordinates"":[]}"
201105,,5.0,2011.0,9.201170242407354,"{""type"":""MultiPoint"",""coordinates"":[]}"
201106,,6.0,2011.0,11.619671217609362,"{""type"":""MultiPoint"",""coordinates"":[]}"
201107,,7.0,2011.0,11.589997213708557,"{""type"":""MultiPoint"",""coordinates"":[]}"
201108,,8.0,2011.0,14.254527723599889,"{""type"":""MultiPoint"",""coordinates"":[]}"
201109,,9.0,2011.0,11.555168570632487,"{""type"":""MultiPoint"",""coordinates"":[]}"
201110,,10.0,2011.0,4.327528559487322,"{""type"":""MultiPoint"",""coordinates"":[]}"
201111,,11.0,2011.0,0.8782390638060741,"{""type"":""MultiPoint"",""coordinates"":[]}"
201112,,12.0,2011.0,-4.3487043744775695,"{""type"":""MultiPoint"",""coordinates"":[]}"
201201,,1.0,2012.0,-6.730286988018947,"{""type"":""MultiPoint"",""coordinates"":[]}"
201202,,2.0,2012.0,-8.253413207021456,"{""type"":""MultiPoint"",""coordinates"":[]}"
201203,,3.0,2012.0,1.8254388409027584,"{""type"":""MultiPoint"",""coordinates"":[]}"
201204,,4.0,2012.0,2.5564224017832267,"{""type"":""MultiPoint"",""coordinates"":[]}"
201205,,5.0,2012.0,7.6752577319587605,"{""type"":""MultiPoint"",""coordinates"":[]}"
201206,,6.0,2012.0,12.829478963499584,"{""type"":""MultiPoint"",""coordinates"":[]}"
201207,,7.0,2012.0,13.489830036221788,"{""type"":""MultiPoint"",""coordinates"":[]}"
201208,,8.0,2012.0,14.410281415436053,"{""type"":""MultiPoint"",""coordinates"":[]}"
201209,,9.0,2012.0,9.510866536639732,"{""type"":""MultiPoint"",""coordinates"":[]}"
201210,,10.0,2012.0,5.06115909724157,"{""type"":""MultiPoint"",""coordinates"":[]}"
201211,,11.0,2012.0,0.10922262468654241,"{""type"":""MultiPoint"",""coordinates"":[]}"
201212,,12.0,2012.0,-6.556143772638617,"{""type"":""MultiPoint"",""coordinates"":[]}"
201301,,1.0,2013.0,-4.972415714683755,"{""type"":""MultiPoint"",""coordinates"":[]}"
201302,,2.0,2013.0,-6.958066313736414,"{""type"":""MultiPoint"",""coordinates"":[]}"
201303,,3.0,2013.0,-2.134856505990528,"{""type"":""MultiPoint"",""coordinates"":[]}"
201304,,4.0,2013.0,4.084424630816385,"{""type"":""MultiPoint"",""coordinates"":[]}"
201305,,5.0,2013.0,5.886179994427418,"{""type"":""MultiPoint"",""coordinates"":[]}"
201306,,6.0,2013.0,10.793535803845083,"{""type"":""MultiPoint"",""coordinates"":[]}"
201307,,7.0,2013.0,14.969629423237674,"{""type"":""MultiPoint"",""coordinates"":[]}"
201308,,8.0,2013.0,14.057397603789354,"{""type"":""MultiPoint"",""coordinates"":[]}"
201309,,9.0,2013.0,9.939816104764558,"{""type"":""MultiPoint"",""coordinates"":[]}"
201310,,10.0,2013.0,5.991919754806353,"{""type"":""MultiPoint"",""coordinates"":[]}"
201311,,11.0,2013.0,-0.5572582892170528,"{""type"":""MultiPoint"",""coordinates"":[]}"
201312,,12.0,2013.0,-3.0944552800222893,"{""type"":""MultiPoint"",""coordinates"":[]}"
201401,,1.0,2014.0,-3.9672610755084983,"{""type"":""MultiPoint"",""coordinates"":[]}"
201402,,2.0,2014.0,-2.3826971301198108,"{""type"":""MultiPoint"",""coordinates"":[]}"
201403,,3.0,2014.0,0.7195597659515187,"{""type"":""MultiPoint"",""coordinates"":[]}"
201404,,4.0,2014.0,4.157007522986905,"{""type"":""MultiPoint"",""coordinates"":[]}"
201405,,5.0,2014.0,6.486068542769574,"{""type"":""MultiPoint"",""coordinates"":[]}"
201406,,6.0,2014.0,11.264419058233491,"{""type"":""MultiPoint"",""coordinates"":[]}"
201407,,7.0,2014.0,12.774171078294792,"{""type"":""MultiPoint"",""coordinates"":[]}"
201408,,8.0,2014.0,11.409584842574532,"{""type"":""MultiPoint"",""coordinates"":[]}"
201409,,9.0,2014.0,9.858177765394261,"{""type"":""MultiPoint"",""coordinates"":[]}"
201410,,10.0,2014.0,6.925327389244917,"{""type"":""MultiPoint"",""coordinates"":[]}"
201411,,11.0,2014.0,2.4799387015881864,"{""type"":""MultiPoint"",""coordinates"":[]}"
201412,,12.0,2014.0,-2.354276957369741,"{""type"":""MultiPoint"",""coordinates"":[]}"
201501,,1.0,2015.0,-4.714544441348562,"{""type"":""MultiPoint"",""coordinates"":[]}"
201502,,2.0,2015.0,-4.856366675954303,"{""type"":""MultiPoint"",""coordinates"":[]}"
201503,,3.0,2015.0,0.1519921983839509,"{""type"":""MultiPoint"",""coordinates"":[]}"
201504,,4.0,2015.0,3.4722764001114523,"{""type"":""MultiPoint"",""coordinates"":[]}"
201505,,5.0,2015.0,8.387851769295068,"{""type"":""MultiPoint"",""coordinates"":[]}"
201506,,6.0,2015.0,12.652688771245476,"{""type"":""MultiPoint"",""coordinates"":[]}"
201507,,7.0,2015.0,16.978406241292838,"{""type"":""MultiPoint"",""coordinates"":[]}"
201508,,8.0,2015.0,14.780579548620787,"{""type"":""MultiPoint"",""coordinates"":[]}"
201509,,9.0,2015.0,8.478127612148231,"{""type"":""MultiPoint"",""coordinates"":[]}"
201510,,10.0,2015.0,4.3601281694065195,"{""type"":""MultiPoint"",""coordinates"":[]}"
201511,,11.0,2015.0,1.962942323767066,"{""type"":""MultiPoint"",""coordinates"":[]}"
201512,,12.0,2015.0,-1.149066592365561,"{""type"":""MultiPoint"",""coordinates"":[]}"
201601,,1.0,2016.0,-4.885762050710503,"{""type"":""MultiPoint"",""coordinates"":[]}"
201602,,2.0,2016.0,-1.8222346057397607,"{""type"":""MultiPoint"",""coordinates"":[]}"
201603,,3.0,2016.0,-1.073418779604347,"{""type"":""MultiPoint"",""coordinates"":[]}"
201604,,4.0,2016.0,4.069796600724437,"{""type"":""MultiPoint"",""coordinates"":[]}"
201605,,5.0,2016.0,6.93173585957091,"{""type"":""MultiPoint"",""coordinates"":[]}"
201606,,6.0,2016.0,11.503900808024522,"{""type"":""MultiPoint"",""coordinates"":[]}"
201607,,7.0,2016.0,14.302730565617164,"{""type"":""MultiPoint"",""coordinates"":[]}"
201608,,8.0,2016.0,13.460573976037894,"{""type"":""MultiPoint"",""coordinates"":[]}"
201609,,9.0,2016.0,11.346336026748402,"{""type"":""MultiPoint"",""coordinates"":[]}"
201610,,10.0,2016.0,4.075369183616607,"{""type"":""MultiPoint"",""coordinates"":[]}"
201611,,11.0,2016.0,-0.11577040958484278,"{""type"":""MultiPoint"",""coordinates"":[]}"
201612,,12.0,2016.0,-2.3694622457509054,"{""type"":""MultiPoint"",""coordinates"":[]}"
201701,,1.0,2017.0,-8.812621900250763,"{""type"":""MultiPoint"",""coordinates"":[]}"
201702,,2.0,2017.0,-1.7665087768180554,"{""type"":""MultiPoint"",""coordinates"":[]}"
201703,,3.0,2017.0,2.2486765115631093,"{""type"":""MultiPoint"",""coordinates"":[]}"
201704,,4.0,2017.0,3.295904151574256,"{""type"":""MultiPoint"",""coordinates"":[]}"
201705,,5.0,2017.0,8.544998606854277,"{""type"":""MultiPoint"",""coordinates"":[]}"
201706,,6.0,2017.0,13.995541933686269,"{""type"":""MultiPoint"",""coordinates"":[]}"
201707,,7.0,2017.0,13.860685427695739,"{""type"":""MultiPoint"",""coordinates"":[]}"
201708,,8.0,2017.0,14.735998885483424,"{""type"":""MultiPoint"",""coordinates"":[]}"
201709,,9.0,2017.0,7.2368347729172475,"{""type"":""MultiPoint"",""coordinates"":[]}"
201710,,10.0,2017.0,6.173585957091113,"{""type"":""MultiPoint"",""coordinates"":[]}"
201711,,11.0,2017.0,-1.499582056283088,"{""type"":""MultiPoint"",""coordinates"":[]}"
201712,,12.0,2017.0,-5.8583170799665645,"{""type"":""MultiPoint"",""coordinates"":[]}"
201801,,1.0,2018.0,-3.320562830872109,"{""type"":""MultiPoint"",""coordinates"":[]}"
201802,,2.0,2018.0,-7.018807467261073,"{""type"":""MultiPoint"",""coordinates"":[]}"
201803,,3.0,2018.0,-1.9721370855391482,"{""type"":""MultiPoint"",""coordinates"":[]}"
201804,,4.0,2018.0,5.656450264697689,"{""type"":""MultiPoint"",""coordinates"":[]}"
201805,,5.0,2018.0,9.123293396489274,"{""type"":""MultiPoint"",""coordinates"":[]}"
201806,,6.0,2018.0,12.623989969350795,"{""type"":""MultiPoint"",""coordinates"":[]}"
201807,,7.0,2018.0,14.53301755363611,"{""type"":""MultiPoint"",""coordinates"":[]}"
201808,,8.0,2018.0,14.512120367790471,"{""type"":""MultiPoint"",""coordinates"":[]}"
201809,,9.0,2018.0,11.442323767066041,"{""type"":""MultiPoint"",""coordinates"":[]}"
201810,,10.0,2018.0,6.878378378378381,"{""type"":""MultiPoint"",""coordinates"":[]}"
201811,,11.0,2018.0,0.899414878796322,"{""type"":""MultiPoint"",""coordinates"":[]}"
201812,,12.0,2018.0,-4.7368347729172475,"{""type"":""MultiPoint"",""coordinates"":[]}"
201901,,1.0,2019.0,-7.202006129841181,"{""type"":""MultiPoint"",""coordinates"":[]}"
201902,,2.0,2019.0,-1.9211479520757875,"{""type"":""MultiPoint"",""coordinates"":[]}"
201903,,3.0,2019.0,0.38213987183059306,"{""type"":""MultiPoint"",""coordinates"":[]}"
201904,,4.0,2019.0,3.643354694901087,"{""type"":""MultiPoint"",""coordinates"":[]}"
201905,,5.0,2019.0,4.466703817219281,"{""type"":""MultiPoint"",""coordinates"":[]}"
201906,,6.0,2019.0,14.502089718584566,"{""type"":""MultiPoint"",""coordinates"":[]}"
201907,,7.0,2019.0,14.737809974923376,"{""type"":""MultiPoint"",""coordinates"":[]}"
201908,,8.0,2019.0,14.331150738367237,"{""type"":""MultiPoint"",""coordinates"":[]}"
201909,,9.0,2019.0,10.351072722206741,"{""type"":""MultiPoint"",""coordinates"":[]}"
201910,,10.0,2019.0,6.853162440791308,"{""type"":""MultiPoint"",""coordinates"":[]}"
201911,,11.0,2019.0,-0.4276957369740877,"{""type"":""MultiPoint"",""coordinates"":[]}"
201912,,12.0,2019.0,-3.3548342156589577,"{""type"":""MultiPoint"",""coordinates"":[]}"
202001,,1.0,2020.0,-4.318891056004458,"{""type"":""MultiPoint"",""coordinates"":[]}"
202002,,2.0,2020.0,-1.4508219559765954,"{""type"":""MultiPoint"",""coordinates"":[]}"
202003,,3.0,2020.0,-0.6648091390359437,"{""type"":""MultiPoint"",""coordinates"":[]}"
202004,,4.0,2020.0,5.0639453886876575,"{""type"":""MultiPoint"",""coordinates"":[]}"
202005,,5.0,2020.0,8.37057676232934,"{""type"":""MultiPoint"",""coordinates"":[]}"
202006,,6.0,2020.0,11.163973251602117,"{""type"":""MultiPoint"",""coordinates"":[]}"
